Countries,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Syrian Arab Republic,,,,,4036,3299,3312,2494,2295,2271,2516,2275,2032,1961,2478,2564,1805,,,,,,,,,,,,,625,527,,,785,667, 
Tajikistan,,,,,,,,,,2199,2107,2074,2149,1792,1677,1834,1558,1546,1501,1598,1949,2296,2401,2628,2650,2724,2559,2526,2432,2387,,,2060,2078,, 
TFYR Macedonia,,3640,3673,3541,3685,3643,3509,3507,3391,3149,3102,3147,3045,2987,2965,2820,2893,2758,2637,2443,2458,2261,2168,2112,,,,,,,,,,,, 
Thailand,69673,67181,63033,60812,57863,55866,55187,53211,51851,50369,50509,49657,45825,,39238,35703,29629,26060,29631,29891,28306,,24959,23332,22152,,,16905,14709,13964,13159,13327,12653,11726,10961,9672
Trinidad and Tobago,,,,,1579,1391,1423,1409,1322,1367,1357,1322,1274,1209,1205,1262,1216,1253,1226,1227,1186,1082,1086,1032,1020,1007,1047,1022,1003,913,932,828,787,792,793,686
Tunisia,,3313,,,,3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Turkey,,74599,67777,65996,62589,58095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Turkmenistan,2544,2471,2527,2497,2602,2352,1979,2041,1918,1851,1887,1807,1923,1896,1897,1116,1970,2076,2239,2113,2240,2461,2327,2319,2300,2357,2424,2363,2400,2335,,,2147,2342,, 
Turks and Caicos Islands,10,16,,,,8,6,1,10,7,6,6,5,3,8,6,4,3,5,8,3,9,3,1,3,4,0,8,4,12,2,,,7,1, 
Ukraine,83081,,91964,88086,87811,87773,88098,89197,89457,90997,91319,92472,94314,94858,97123,97806,97049,97277,98394,101748,103766,103769,105005,104258,101370,99280,96543,93355,89789,85682,,,79422,76913,, 
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
United Kingdom,,161986,162090,159458,157583,156467,157032,155909,154523,153734,153640,154852,155714,155073,151186,152476,154731,154122,156253,157876,158595,159721,162840,161974,161230,161860,160594,158788,156858,157508,155915,150327,147699,147069,145943,145059
United States of America,591727,584905,582652,576708,574866,567710,565469,562894,559896,559312,553888,556902,557271,553768,553091,549838,541532,539577,539533,538455,534310,529904,520578,514657,505322,496152,485048,476927,469376,461563,453492,442986,433795,422094,416509,403395
Uruguay,7768,7609,7473,,7456,7340,7457,7462,7330,7408,7354,7433,7395,7232,7317,7143,7315,7369,7197,7099,7007,6906,,,6893,6858,6930,6677,6669,6455,6372,6127,6009,6133,5939, 
Uzbekistan,12223,11387,11154,10867,10244,10019,,,,9821,9473,9539,9460,9368,9596,9521,9496,9333,9799,9977,10080,10576,11044,11106,11017,11228,11304,11749,11417,10381,,,9766,9412,, 
Venezuela (Bolivarian Republic of),,23116,22817,22327,21185,20288,19797,19254,18555,18154,17507,17234,16391,15705,15211,14897,14163,14024,13632,,12937,12073,11956,,11313,9660,9842,9431,8498,8296,,8901,7658,7515,7455,7037
Virgin Islands (USA),,,154,160,127,110,101,116,108,124,122,111,129,114,132,117,122,119,,,,,,,,,,,,,,,,,65, 
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,2817,,,,,,,,,,, 
Total reporting countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Total,2524391,3063182,3369636,3658990,3644942,3597087,3502822,3443729,3372858,3105676,3119215,3339806,3307556,3229765,3239757,3176847,3050690,2997650,3061713,3013952,2979600,2886406,2870126,2778108,2733143,2465512,2420954,2393535,2297085,2206360,1949156,1900516,2004849,1967927,1790262,1296432
